Year,Port Name,Direction,Cargo Group Name,Tonnage,Published Port Lat,Published Port Long
2000,Clyde,Inwards,Ro-Ro Self-Prop,71,55.865084,-4.3237846
2000,Clyde,Outwards,All Cargo,2788,55.865084,-4.3237846
2000,Clyde,Outwards,Dry Bulk,1391,55.865084,-4.3237846
2000,Clyde,Outwards,Liquid Bulk,897,55.865084,-4.3237846
2000,Clyde,Outwards,Lo-Lo,232,55.865084,-4.3237846
2000,Clyde,Outwards,Main Freight,385,55.865084,-4.3237846
2000,Clyde,Outwards,Other General Cargo,92,55.865084,-4.3237846
2000,Clyde,Outwards,Ro-Ro Non-SP,155,55.865084,-4.3237846
2000,Clyde,Outwards,Ro-Ro Self-Prop,21,55.865084,-4.3237846
2000,Cromarty Firth,Inwards,All Cargo,1114,57.68333333,-4.033333333
2000,Cromarty Firth,Inwards,Dry Bulk,113,57.68333333,-4.033333333
2000,Cromarty Firth,Inwards,Liquid Bulk,960,57.68333333,-4.033333333
2000,Cromarty Firth,Inwards,Main Freight,7,57.68333333,-4.033333333
2000,Cromarty Firth,Inwards,Other General Cargo,29,57.68333333,-4.033333333
2000,Cromarty Firth,Inwards,Ro-Ro Non-SP,6,57.68333333,-4.033333333
2000,Cromarty Firth,Inwards,Ro-Ro Self-Prop,4,57.68333333,-4.033333333
2000,Cromarty Firth,Outwards,All Cargo,1215,57.68333333,-4.033333333
2000,Cromarty Firth,Outwards,Dry Bulk,6,57.68333333,-4.033333333
2000,Cromarty Firth,Outwards,Liquid Bulk,1155,57.68333333,-4.033333333
2000,Cromarty Firth,Outwards,Main Freight,23,57.68333333,-4.033333333
2000,Cromarty Firth,Outwards,Other General Cargo,31,57.68333333,-4.033333333
2000,Cromarty Firth,Outwards,Ro-Ro Non-SP,20,57.68333333,-4.033333333
2000,Cromarty Firth,Outwards,Ro-Ro Self-Prop,3,57.68333333,-4.033333333
2000,Dover,Inwards,All Cargo,10579,51.1251275,1.3134228
2000,Dover,Inwards,Dry Bulk,224,51.1251275,1.3134228
2000,Dover,Inwards,Lo-Lo,0,51.1251275,1.3134228
2000,Dover,Inwards,Main Freight,10178,51.1251275,1.3134228
2000,Dover,Inwards,Other General Cargo,176,51.1251275,1.3134228
2000,Dover,Inwards,Ro-Ro Non-SP,525,51.1251275,1.3134228
2000,Dover,Inwards,Ro-Ro Self-Prop,9655,51.1251275,1.3134228
2000,Dover,Outwards,All Cargo,6854,51.1251275,1.3134228
2000,Dover,Outwards,Dry Bulk,6,51.1251275,1.3134228
2000,Dover,Outwards,Lo-Lo,0,51.1251275,1.3134228
2000,Dover,Outwards,Main Freight,6839,51.1251275,1.3134228
2000,Dover,Outwards,Other General Cargo,9,51.1251275,1.3134228
2000,Dover,Outwards,Ro-Ro Non-SP,267,51.1251275,1.3134228
