Year,Port Name,Cargo Code,Cargo Name,Cargo Group Code,Cargo Group Name,Direction,Tonnage,Units,TEU,Published Port Lat,Published Port Long,,
2000,Belfast,32,40' freight units,30,Lo-Lo,Outwards,260,33,66,54.596391,-5.9301829,,
2000,Belfast,33,Freight units >20' & <40',30,Lo-Lo,Inwards,51,2,3,54.596391,-5.9301829,,
2000,Belfast,33,Freight units >20' & <40',30,Lo-Lo,Outwards,1,3,4,54.596391,-5.9301829,,
2000,Belfast,34,Freight units >40',30,Lo-Lo,Inwards,23,2,5,54.596391,-5.9301829,,
2000,Belfast,34,Freight units >40',30,Lo-Lo,Outwards,11,2,4,54.596391,-5.9301829,,
2000,Belfast,51,Road goods vehicles with or without accompanying trailers,50,Ro-Ro Self-Prop,Inwards,1018,64,0,54.596391,-5.9301829,,
2000,Belfast,51,Road goods vehicles with or without accompanying trailers,50,Ro-Ro Self-Prop,Outwards,688,67,0,54.596391,-5.9301829,,
2000,Belfast,52,"Passenger cars, motorcycles and accompanying trailers/caravans",50,Ro-Ro Self-Prop,Inwards,0,218,0,54.596391,-5.9301829,,
2000,Belfast,52,"Passenger cars, motorcycles and accompanying trailers/caravans",50,Ro-Ro Self-Prop,Outwards,0,218,0,54.596391,-5.9301829,,
2000,Belfast,53,Passenger buses,50,Ro-Ro Self-Prop,Inwards,0,2,0,54.596391,-5.9301829,,
2000,Belfast,53,Passenger buses,50,Ro-Ro Self-Prop,Outwards,0,2,0,54.596391,-5.9301829,,
2000,Belfast,54,Import/Export motor vehicles,50,Ro-Ro Self-Prop,Inwards,118,98,0,54.596391,-5.9301829,,
2000,Belfast,54,Import/Export motor vehicles,50,Ro-Ro Self-Prop,Outwards,30,22,0,54.596391,-5.9301829,,
2000,Belfast,61,Unaccompanied road goods trailers & semi-trailers,50,Ro-Ro Non-SP,Inwards,1689,109,0,54.596391,-5.9301829,,
2000,Belfast,61,Unaccompanied road goods trailers & semi-trailers,50,Ro-Ro Non-SP,Outwards,1046,109,0,54.596391,-5.9301829,,
2000,Belfast,62,"Unaccompanied caravans and other road, agricultural and industrial vehicles",50,Ro-Ro Non-SP,Inwards,15,2,0,54.596391,-5.9301829,,
2000,Belfast,62,"Unaccompanied caravans and other road, agricultural and industrial vehicles",50,Ro-Ro Non-SP,Outwards,6,0,0,54.596391,-5.9301829,,
2000,Belfast,69,Other mobile non self-propelled units,50,Ro-Ro Non-SP,Inwards,0,1,0,54.596391,-5.9301829,,
2000,Belfast,69,Other mobile non self-propelled units,50,Ro-Ro Non-SP,Outwards,0,0,0,54.596391,-5.9301829,,
2000,Belfast,91,Forestry products,90,Other General Cargo,Inwards,184,0,0,54.596391,-5.9301829,,
2000,Belfast,92,Iron and steel products,90,Other General Cargo,Inwards,79,0,0,54.596391,-5.9301829,,
2000,Belfast,92,Iron and steel products,90,Other General Cargo,Outwards,1,0,0,54.596391,-5.9301829,,
2000,Belfast,99,Other general cargo & containers <20',90,Other General Cargo,Inwards,53,0,0,54.596391,-5.9301829,,
2000,Belfast,99,Other general cargo & containers <20',90,Other General Cargo,Outwards,14,0,0,54.596391,-5.9301829,,
2000,Belfast,100,All Main Freight,0,Main Freight,Inwards,3662,234,96,54.596391,-5.9301829,,
2000,Belfast,100,All Main Freight,0,Main Freight,Outwards,2065,237,97,54.596391,-5.9301829,,
2000,Boston,1,All Cargo,1,All Cargo,Inwards,816,8,15,52.9689077,-0.0182756,,
2000,Boston,1,All Cargo,1,All Cargo,Outwards,449,8,15,52.9689077,-0.0182756,,
2000,Boston,19,Other liquid bulk products,10,Liquid Bulk,Inwards,0,0,0,52.9689077,-0.0182756,,
2000,Boston,21,Ores,20,Dry Bulk,Inwards,0,0,0,52.9689077,-0.0182756,,
2000,Boston,23,"Agricultural products (eg grain, soya, tapioca)",20,Dry Bulk,Inwards,68,0,0,52.9689077,-0.0182756,,
2000,Boston,23,"Agricultural products (eg grain, soya, tapioca)",20,Dry Bulk,Outwards,383,0,0,52.9689077,-0.0182756,,
2000,Boston,29,Other dry bulk,20,Dry Bulk,Inwards,62,0,0,52.9689077,-0.0182756,,
2000,Boston,29,Other dry bulk,20,Dry Bulk,Outwards,0,0,0,52.9689077,-0.0182756,,
2000,Boston,31,20' freight units,30,Lo-Lo,Inwards,25,1,1,52.9689077,-0.0182756,,
2000,Boston,31,20' freight units,30,Lo-Lo,Outwards,9,2,2,52.9689077,-0.0182756,,
2000,Boston,32,40' freight units,30,Lo-Lo,Inwards,142,7,14,52.9689077,-0.0182756,,
2000,Boston,32,40' freight units,30,Lo-Lo,Outwards,53,7,13,52.9689077,-0.0182756,,
2000,Boston,33,Freight units >20' & <40',30,Lo-Lo,Inwards,0,0,0,52.9689077,-0.0182756,,
2000,Boston,33,Freight units >20' & <40',30,Lo-Lo,Outwards,0,0,0,52.9689077,-0.0182756,,
2000,Boston,34,Freight units >40',30,Lo-Lo,Inwards,0,0,0,52.9689077,-0.0182756,,
2000,Boston,34,Freight units >40',30,Lo-Lo,Outwards,0,0,0,52.9689077,-0.0182756,,
2000,Boston,91,Forestry products,90,Other General Cargo,Inwards,147,0,0,52.9689077,-0.0182756,,
2000,Boston,91,Forestry products,90,Other General Cargo,Outwards,3,0,0,52.9689077,-0.0182756,,
2000,Boston,92,Iron and steel products,90,Other General Cargo,Inwards,331,0,0,52.9689077,-0.0182756,,
2000,Boston,92,Iron and steel products,90,Other General Cargo,Outwards,0,0,0,52.9689077,-0.0182756,,
2000,Boston,99,Other general cargo & containers <20',90,Other General Cargo,Inwards,40,0,0,52.9689077,-0.0182756,,
2000,Boston,99,Other general cargo & containers <20',90,Other General Cargo,Outwards,1,0,0,52.9689077,-0.0182756,,
2000,Boston,100,All Main Freight,0,Main Freight,Inwards,167,8,15,52.9689077,-0.0182756,,
2000,Boston,100,All Main Freight,0,Main Freight,Outwards,62,8,15,52.9689077,-0.0182756,,
2000,Bristol,1,All Cargo,1,All Cargo,Inwards,8486,380,27,51.448193,-2.6035933,,
2000,Bristol,1,All Cargo,1,All Cargo,Outwards,1161,120,26,51.448193,-2.6035933,,
2000,Bristol,11,Liquefied gas,10,Liquid Bulk,Inwards,2,0,0,51.448193,-2.6035933,,
2000,Bristol,11,Liquefied gas,10,Liquid Bulk,Outwards,42,0,0,51.448193,-2.6035933,,
2000,Bristol,13,Oil products,10,Liquid Bulk,Inwards,1854,0,0,51.448193,-2.6035933,,
2000,Bristol,19,Other liquid bulk products,10,Liquid Bulk,Inwards,141,0,0,51.448193,-2.6035933,,
2000,Bristol,19,Other liquid bulk products,10,Liquid Bulk,Outwards,89,0,0,51.448193,-2.6035933,,
2000,Bristol,21,Ores,20,Dry Bulk,Inwards,222,0,0,51.448193,-2.6035933,,
2000,Bristol,22,Coal,20,Dry Bulk,Inwards,3370,0,0,51.448193,-2.6035933,,
2000,Bristol,22,Coal,20,Dry Bulk,Outwards,7,0,0,51.448193,-2.6035933,,
2000,Bristol,23,"Agricultural products (eg grain, soya, tapioca)",20,Dry Bulk,Inwards,703,0,0,51.448193,-2.6035933,,
2000,Bristol,23,"Agricultural products (eg grain, soya, tapioca)",20,Dry Bulk,Outwards,418,0,0,51.448193,-2.6035933,,
2000,Bristol,29,Other dry bulk,20,Dry Bulk,Inwards,1037,0,0,51.448193,-2.6035933,,
2000,Bristol,29,Other dry bulk,20,Dry Bulk,Outwards,237,0,0,51.448193,-2.6035933,,
2000,Bristol,31,20' freight units,30,Lo-Lo,Inwards,87,5,5,51.448193,-2.6035933,,
2000,Bristol,31,20' freight units,30,Lo-Lo,Outwards,60,5,5,51.448193,-2.6035933,,
2000,Bristol,32,40' freight units,30,Lo-Lo,Inwards,174,11,22,51.448193,-2.6035933,,
2000,Bristol,32,40' freight units,30,Lo-Lo,Outwards,120,10,21,51.448193,-2.6035933,,
2000,Bristol,33,Freight units >20' & <40',30,Lo-Lo,Inwards,0,0,0,51.448193,-2.6035933,,
2000,Bristol,33,Freight units >20' & <40',30,Lo-Lo,Outwards,0,0,0,51.448193,-2.6035933,,
2000,Bristol,34,Freight units >40',30,Lo-Lo,Inwards,0,0,0,51.448193,-2.6035933,,
2000,Bristol,34,Freight units >40',30,Lo-Lo,Outwards,0,0,0,51.448193,-2.6035933,,
2000,Bristol,51,Road goods vehicles with or without accompanying trailers,50,Ro-Ro Self-Prop,Inwards,1,0,0,51.448193,-2.6035933,,
2000,Bristol,51,Road goods vehicles with or without accompanying trailers,50,Ro-Ro Self-Prop,Outwards,0,0,0,51.448193,-2.6035933,,
2000,Bristol,54,Import/Export motor vehicles,50,Ro-Ro Self-Prop,Inwards,364,364,0,51.448193,-2.6035933,,
2000,Bristol,54,Import/Export motor vehicles,50,Ro-Ro Self-Prop,Outwards,104,104,0,51.448193,-2.6035933,,
2000,Bristol,56,Live animals on the hoof,50,Ro-Ro Self-Prop,Inwards,0,0,0,51.448193,-2.6035933,,
2000,Bristol,59,Other mobile self-propelled units,50,Ro-Ro Self-Prop,Inwards,0,0,0,51.448193,-2.6035933,,
2000,Bristol,59,Other mobile self-propelled units,50,Ro-Ro Self-Prop,Outwards,0,0,0,51.448193,-2.6035933,,
2000,Bristol,61,Unaccompanied road goods trailers & semi-trailers,50,Ro-Ro Non-SP,Inwards,0,0,0,51.448193,-2.6035933,,
2000,Bristol,61,Unaccompanied road goods trailers & semi-trailers,50,Ro-Ro Non-SP,Outwards,0,0,0,51.448193,-2.6035933,,
2000,Bristol,62,"Unaccompanied caravans and other road, agricultural and industrial vehicles",50,Ro-Ro Non-SP,Inwards,0,0,0,51.448193,-2.6035933,,
2000,Bristol,62,"Unaccompanied caravans and other road, agricultural and industrial vehicles",50,Ro-Ro Non-SP,Outwards,0,0,0,51.448193,-2.6035933,,
2000,Bristol,63,"Rail wagons, shipborne port to port trailers, and shipborne barges engaged in goods transport",50,Ro-Ro Non-SP,Inwards,15,0,0,51.448193,-2.6035933,,
2000,Bristol,63,"Rail wagons, shipborne port to port trailers, and shipborne barges engaged in goods transport",50,Ro-Ro Non-SP,Outwards,0,0,0,51.448193,-2.6035933,,
2000,Bristol,69,Other mobile non self-propelled units,50,Ro-Ro Non-SP,Inwards,0,0,0,51.448193,-2.6035933,,
2000,Bristol,69,Other mobile non self-propelled units,50,Ro-Ro Non-SP,Outwards,0,0,0,51.448193,-2.6035933,,
2000,Bristol,91,Forestry products,90,Other General Cargo,Inwards,452,0,0,51.448193,-2.6035933,,
2000,Bristol,91,Forestry products,90,Other General Cargo,Outwards,21,0,0,51.448193,-2.6035933,,
2000,Bristol,92,Iron and steel products,90,Other General Cargo,Inwards,41,0,0,51.448193,-2.6035933,,
2000,Bristol,92,Iron and steel products,90,Other General Cargo,Outwards,9,0,0,51.448193,-2.6035933,,
2000,Bristol,99,Other general cargo & containers <20',90,Other General Cargo,Inwards,24,0,0,51.448193,-2.6035933,,
2000,Bristol,99,Other general cargo & containers <20',90,Other General Cargo,Outwards,54,0,0,51.448193,-2.6035933,,
2000,Bristol,100,All Main Freight,0,Main Freight,Inwards,277,17,27,51.448193,-2.6035933,,
2000,Bristol,100,All Main Freight,0,Main Freight,Outwards,180,16,26,51.448193,-2.6035933,,
2000,Cairnryan,1,All Cargo,1,All Cargo,Inwards,1136,159,0,54.9738045,-5.0250851,,
2000,Cairnryan,1,All Cargo,1,All Cargo,Outwards,1147,164,0,54.9738045,-5.0250851,,
2000,Cairnryan,51,Road goods vehicles with or without accompanying trailers,50,Ro-Ro Self-Prop,Inwards,550,45,0,54.9738045,-5.0250851,,
2000,Cairnryan,51,Road goods vehicles with or without accompanying trailers,50,Ro-Ro Self-Prop,Outwards,520,47,0,54.9738045,-5.0250851,,
2000,Cairnryan,52,"Passenger cars, motorcycles and accompanying trailers/caravans",50,Ro-Ro Self-Prop,Inwards,0,75,0,54.9738045,-5.0250851,,
2000,Cairnryan,52,"Passenger cars, motorcycles and accompanying trailers/caravans",50,Ro-Ro Self-Prop,Outwards,0,75,0,54.9738045,-5.0250851,,
2000,Cairnryan,53,Passenger buses,50,Ro-Ro Self-Prop,Inwards,0,1,0,54.9738045,-5.0250851,,
2000,Cairnryan,53,Passenger buses,50,Ro-Ro Self-Prop,Outwards,0,1,0,54.9738045,-5.0250851,,
2000,Cairnryan,59,Other mobile self-propelled units,50,Ro-Ro Self-Prop,Inwards,9,0,0,54.9738045,-5.0250851,,
2000,Cairnryan,59,Other mobile self-propelled units,50,Ro-Ro Self-Prop,Outwards,9,0,0,54.9738045,-5.0250851,,
2000,Cairnryan,61,Unaccompanied road goods trailers & semi-trailers,50,Ro-Ro Non-SP,Inwards,511,31,0,54.9738045,-5.0250851,,
2000,Cairnryan,61,Unaccompanied road goods trailers & semi-trailers,50,Ro-Ro Non-SP,Outwards,536,33,0,54.9738045,-5.0250851,,
2000,Cairnryan,62,"Unaccompanied caravans and other road, agricultural and industrial vehicles",50,Ro-Ro Non-SP,Inwards,0,0,0,54.9738045,-5.0250851,,
2000,Cairnryan,62,"Unaccompanied caravans and other road, agricultural and industrial vehicles",50,Ro-Ro Non-SP,Outwards,10,1,0,54.9738045,-5.0250851,,
2000,Cairnryan,63,"Rail wagons, shipborne port to port trailers, and shipborne barges engaged in goods transport",50,Ro-Ro Non-SP,Inwards,0,0,0,54.9738045,-5.0250851,,
2000,Cairnryan,69,Other mobile non self-propelled units,50,Ro-Ro Non-SP,Inwards,66,5,0,54.9738045,-5.0250851,,
2000,Cairnryan,69,Other mobile non self-propelled units,50,Ro-Ro Non-SP,Outwards,73,6,0,54.9738045,-5.0250851,,
2000,Cairnryan,100,All Main Freight,0,Main Freight,Inwards,1061,76,0,54.9738045,-5.0250851,,
2000,Cairnryan,100,All Main Freight,0,Main Freight,Outwards,1055,80,0,54.9738045,-5.0250851,,
2000,Cardiff,1,All Cargo,1,All Cargo,Inwards,2042,13,20,51.4816546,-3.1791934,,
2000,Cardiff,1,All Cargo,1,All Cargo,Outwards,658,16,23,51.4816546,-3.1791934,,
2000,Cardiff,13,Oil products,10,Liquid Bulk,Inwards,1235,0,0,51.4816546,-3.1791934,,
2000,Cardiff,13,Oil products,10,Liquid Bulk,Outwards,11,0,0,51.4816546,-3.1791934,,
2000,Cardiff,19,Other liquid bulk products,10,Liquid Bulk,Inwards,13,0,0,51.4816546,-3.1791934,,
2000,Cardiff,21,Ores,20,Dry Bulk,Inwards,0,0,0,51.4816546,-3.1791934,,
2000,Cardiff,22,Coal,20,Dry Bulk,Inwards,167,0,0,51.4816546,-3.1791934,,
2000,Cardiff,22,Coal,20,Dry Bulk,Outwards,23,0,0,51.4816546,-3.1791934,,
2000,Cardiff,23,"Agricultural products (eg grain, soya, tapioca)",20,Dry Bulk,Inwards,0,0,0,51.4816546,-3.1791934,,
2000,Cardiff,23,"Agricultural products (eg grain, soya, tapioca)",20,Dry Bulk,Outwards,3,0,0,51.4816546,-3.1791934,,
2000,Cardiff,29,Other dry bulk,20,Dry Bulk,Inwards,340,0,0,51.4816546,-3.1791934,,
2000,Cardiff,29,Other dry bulk,20,Dry Bulk,Outwards,0,0,0,51.4816546,-3.1791934,,
2000,Cardiff,31,20' freight units,30,Lo-Lo,Inwards,18,6,6,51.4816546,-3.1791934,,
2000,Cardiff,31,20' freight units,30,Lo-Lo,Outwards,108,8,8,51.4816546,-3.1791934,,
2000,Cardiff,32,40' freight units,30,Lo-Lo,Inwards,33,7,14,51.4816546,-3.1791934,,
2000,Cardiff,32,40' freight units,30,Lo-Lo,Outwards,131,8,15,51.4816546,-3.1791934,,
2000,Cardiff,33,Freight units >20' & <40',30,Lo-Lo,Inwards,0,0,0,51.4816546,-3.1791934,,
2000,Cardiff,33,Freight units >20' & <40',30,Lo-Lo,Outwards,0,0,0,51.4816546,-3.1791934,,
2000,Cardiff,34,Freight units >40',30,Lo-Lo,Inwards,0,0,0,51.4816546,-3.1791934,,
2000,Cardiff,34,Freight units >40',30,Lo-Lo,Outwards,0,0,0,51.4816546,-3.1791934,,
2000,Cardiff,91,Forestry products,90,Other General Cargo,Inwards,58,0,0,51.4816546,-3.1791934,,
2000,Cardiff,91,Forestry products,90,Other General Cargo,Outwards,2,0,0,51.4816546,-3.1791934,,
2000,Cardiff,92,Iron and steel products,90,Other General Cargo,Inwards,154,0,0,51.4816546,-3.1791934,,
2000,Cardiff,92,Iron and steel products,90,Other General Cargo,Outwards,298,0,0,51.4816546,-3.1791934,,
2000,Cardiff,99,Other general cargo & containers <20',90,Other General Cargo,Inwards,25,0,0,51.4816546,-3.1791934,,
2000,Cardiff,99,Other general cargo & containers <20',90,Other General Cargo,Outwards,82,0,0,51.4816546,-3.1791934,,
2000,Cardiff,100,All Main Freight,0,Main Freight,Inwards,51,13,20,51.4816546,-3.1791934,,
2000,Cardiff,100,All Main Freight,0,Main Freight,Outwards,239,16,23,51.4816546,-3.1791934,,
2000,Clyde,1,All Cargo,1,All Cargo,Inwards,4436,31,29,55.865084,-4.3237846,,
2000,Clyde,1,All Cargo,1,All Cargo,Outwards,2788,26,22,55.865084,-4.3237846,,
2000,Clyde,12,Crude oil,10,Liquid Bulk,Inwards,651,0,0,55.865084,-4.3237846,,
2000,Clyde,13,Oil products,10,Liquid Bulk,Inwards,192,0,0,55.865084,-4.3237846,,
2000,Clyde,13,Oil products,10,Liquid Bulk,Outwards,896,0,0,55.865084,-4.3237846,,
2000,Clyde,19,Other liquid bulk products,10,Liquid Bulk,Inwards,39,0,0,55.865084,-4.3237846,,
2000,Clyde,19,Other liquid bulk products,10,Liquid Bulk,Outwards,1,0,0,55.865084,-4.3237846,,
2000,Clyde,21,Ores,20,Dry Bulk,Inwards,4,0,0,55.865084,-4.3237846,,
2000,Clyde,21,Ores,20,Dry Bulk,Outwards,14,0,0,55.865084,-4.3237846,,
2000,Clyde,22,Coal,20,Dry Bulk,Inwards,2447,0,0,55.865084,-4.3237846,,
